page,key,value
1,Features,Sizes from 10 to 3785 cm³ (1 gal) Working pressures up to 5000 psig (344 bar) 304L and 316L stainless steel and alloy 400
1,"Accessories, and",Outage Tubes
2,Features,"Body made of seamless tubing provides consistent wall thickness, size, and capacity. Smooth internal neck transition allows easy cleaning and eliminates trapped fluids. Cold-formed female NPT threads provide greater strength. Heavy-wall end connections provide strength and resist flaring. Swagelok® DOT sample cylinders conform to 49 CFR Part 178, ""Specifications for Packagings."""
2,Transportable Pressure Equipment Directive (TPED / UK TPE),"The Transportable Pressure Equipment Directive (TPED / UK TPE) provides requirements relating to the design, manufacture, and testing of transportable pressure vessels and accessories, including sample cylinders and rupture discs. The intent of the directive is to provide a uniform level of product safety throughout the European Union countries and the United Kingdom. For information about TPED / UK TPE-compliant Swagelok products, see the Swagelok Products Compliant with the MS-02-193."
2,316 SS,None
2,304L SS,DOT-4B 500
2,304L SS,DOT-3A 1800
2,"316L SS, 304L SS",DOT-3E 1800
2,Alloy 400,DOT-SP7458 1800
2,Testing,DOT-4B 500 cylinders are hydrostatically proof tested at 1000 psig (69 bar) minimum.
2,Material,Specification
2,316L SS,DOT-3A 5000
2,"Transportable Pressure Equipment Directive catalog,",
3,T,
3,T,
3,A,
3,A,
3,B,
3,B,
3,minimum wall thickness,
3,316L SS/ DOT-3E 1800,
3,"Sample Cylinders, Accessories, and Outage",3
3,cm³ ±,5 %
3,Tubes,
4,A,
4,NPT,
4,1/4 in.,
4,1/4 in.,
4,1/2 in.,
4,1/4 in.,
4,1/2 in.,
4,swagelok.com,
4,Straight,SS-16DKM4-F4-1
4,Component,Material Grade/ASTM Specification
4,O-ring,Fluorocarbon FKM
4,Rupture disc,Alloy 600/B168
4,Be sure to use the correct pressure-relief device for the gas being used.,
4,Straight,SS-16DKM4F4-2
4,"Proper filling of the cylinder according to DOT specifications, or other local regulations, is critical in preventing overpressurization.",
4,With,2850
4,With,1900 psig (130 bar) Rupture Disc
4,"Body, inlet ring",316L/A479 or A213
