page,table_index,Connections / Outlet / 1/4 in. / female NPT,304L SS / DOT-4B 500,"Component / Body, inlet ring / O-ring / Rupture disc",Pressure Rating psig (bar) / 1000 / (68.9),10 / 0.87,Tube / OD / 5/16 in.,Ordering / Number / Single-Ended,End / Inlet / 1/4 in. male NPT / 1/2 in. male NPT,A,Cylinder Ordering / Number,316L SS / DOT-3A 5000,50 / 1.84,"Cylinder OD in. (mm) / 1.9, 2 (48.2, 50.8) / 3.5, 4 (88.9, 102)",316 SS / None,in. / c / 0.94 (23.9) / 1.19 (30.2),Internal Volume / cm³ ± 5 %,"Ordering Number / MS-5K-CY-2"" / MS-5K-CY-4""",A / bar) / 1.88 (47.7) / 2.19 (55.6),Internal Volume cm³ / 10 / 25 / 50 / 10,Pressure Rating / psig (bar),Connections / Outlet / male NPT / 1/4 in. female NPT,Ordering Number / SS-RDK-16-2850 / SS-RDK-16-1900,(mm) / D / 0.50 (12.7) / 0.56 (14.2),Valve Ordering / Number / SS-14DKM4-104 / SS-16DKM4-F4-104,Material Grade/ Cylinder / Specification,Orifice / in. (mm) / 0.218 (5.5),Ordering Number / SS-4CS-TW-10 / SS-4CS-TW-25 / SS-4CS-TW-50 / SS-4CD-TW-10,A in. (mm) / 2.19 (55.6) / 3.69 (93.7) / 6.25 (159) / 2.75 (69.8),Valve Ordering / Number / bar) Rupture Disc / SS-16DKM4F4-2 / SS-16DKM4F4-A-2,T,304L SS / DOT-3A 1800 / Working,Nominal Burst Pressure at 70°F (20°C) / 2850 psig ± 150 psig 196 bar ± 10.3 bar / 1900 psig ± 100 psig 130 bar ± 6.8 bar,"Material / Specification / Temperature, °F (°C)","Alloy 400 / DOT-SP7458 1800 / Pressure, psig (bar)",Minimum / 20 / Tube / 1.11,Weight / lb (kg),"Dimensions, / B / Rupture Disc / 1.06 (26.9) / 1.22 (31.0)",Ordering / Number / 2850 psig (196 / SS-RTM4-F4-2 / SS-RTM8-F4-2,P / in.,Material Grade/ASTM Specification / 316L/A479 or A213 / Fluorocarbon FKM / Alloy 600/B168,Tube Length / in. (cm) / 10.4 / (26.4),Connections / Outlet / With 2850 / 1/4 in. female,Tube / OD / 5/16 in. / 1/2 in.,Cylinder Model / Single- ended,Average Weight OZ (g) / 2.2 (62) / 3.2 (91) / 5.6 (159) / 1.9 (54),Volume Tolerance / ± 10 % / ± 5% / ± 10 %,"316L SS, 304L SS / DOT-3E 1800",Adapter Ordering / Number / SS-DTM4-F4-104 / SS-DTM8-F4-104,"Dimensions, in. (mm) / B",% / 40 / in. / 1.59,End / Inlet / 1/4 in. / 1/4 in. male NPT,Flow / Pattern / psig (196 / Straight,Connections / Outlet / With / 1/4 in. / female NPT,Tube / OD,"Outage, / 30 / Length, / Designator / 1.35",End / Inlet / 1/4 in. / male NPT
2,1,,500 (34.4),,,,,,,,,5000 (344),,,1000 (68.9),,,,,,,,,,,,,,,,,1800 (124),,-65 (-53) to 100 (37),1800 (124),,,,,,,,,,,,,1800 (124),,,,,,,,,
2,1,,500 (34.4),,,,,,,,,3960 (272),,,840 (57.8),,,,,,,,,,,,,,,,,1360 (93.7),,200 (93),1580 (108),,,,,,,,,,,,,1360 (93.7),,,,,,,,,
2,1,,500 (34.4),,,,,,,,,3570 (245),,,760 (52.3),,,,,,,,,,,,,,,,,1230 (84.7),,300 (148),1490 (102),,,,,,,,,,,,,1230 (84.7),,,,,,,,,
2,1,,500 (34.4),,,,,,,,,3290 (226),,,700 (48.2),,,,,,,,,,,,,,,,,1130 (77.8),,400 (204),1430 (98.5),,,,,,,,,,,,,1130 (77.8),,,,,,,,,
2,1,,500 (34.4) 500 (34.4) 500 (34.4) 500 (34.4),,,,,,,,,3060 (210) 2920 (201) 2870 (197) 2810 (193),,,650 (44.7) 620 (42.7) 610 (42.0) 590 (40.6),,,,,,,,,,,,,,,,,1050 (72.3) 1000 (68.9) 980 (67.5) 970 (66.8),,500 (260) 600 (315) 650 (343) 700 (371),1420 (97.8) 1420 (97.8) 1420 (97.8) 1420 (97.8),,,,,,,,,,,,,1050 (72.3) 1000 (68.9) 980 (67.5) 970 (66.8),,,,,,,,,
2,1,,500 (34.4) 500 (34.4) -,,,,,,,,,2750 (189) 2700 (186) 2640 (181),,,580 (39.9) 570 (39.2) 560 (38.5),,,,,,,,,,,,,,,,,950 (65.4) 930 (64.0) I,,750 (398) 800 (426) 850 (454),1410 (97.1) - -,,,,,,,,,,,,,950 (65.4) 930 (64.0) -,,,,,,,,,
3,2,,,,,,,304L-05SF4-150,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,1.1 (0.50),,,,,,,,,,,,,4.88 (124),,,,,,,
3,2,,,,,,,304L-05SF4-300,,2.00 (50.8),,,,,,,300,,,,500 (34.4),,,,,304L SS/ DOT-4B 500,,,,,0.093 (2.4),,,,,,1.8 (0.82),,,1/4,,,,,,,,,,8.62 (219),,,,,,,
3,2,,,,,,,304L-05SF4-500,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,2.7 (1.2),,,,,,,,,,,,,13.6 (345),,,,,,,
3,2,,,,,,,Double-Ended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,304L-HDF2-40,,1.25 (31.8),,,,,,,40,,,,,,,,,,,,,,0.070 (1.8),,,,,,0.31 (0.14),,,1/8,,,,,,,,,,3.88 (98.6),,,,,,,
3,2,,,,,,,304L-HDF4-50,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,0.38 (0.17),,,,,,,,,,,,,3.75 (95.2),,,,,,,
