Tube / OD,Cylinder Ordering / Number,10 / 0.87,Minimum / 20 / Tube / 1.11,"Outage, / 30 / Length, / Designator / 1.35",% / 40 / in. / 1.59,50 / 1.84
1/4 in.,304L-HDF2-40,009,011,014,016,018
,,0.85,1.07,1.28,1.50,1.71
,304L-HDF4-50,009,011,013,015,017
,,1.02,1.34,1.66,1.98,2.31
,304L-HDF4-75,010,013,017,020,023
,,1.12,1.45,1.79,2.13,2.46
,304L-HDF4-150,011,015,018,021,025
,,1.65,2.32,2.99,3.67,4.34
,304L-HDF4-300,017,023,030,037,043
,,2.00,2.90,3.79,4.69,5.59
5/16 in.,304L-HDF4-400,020,029,038,047,056
,,2.26,3.38,4.50,5.62,6.74
,304L-HDF4-500,023,034,045,056,067
,,2.31,3.06,3.81,4.56,5.31
,304L-HDF4-1000,023,031,038,046,053
,,3.30,4.59,5.88,7.17,8.46
,304L-HDF4-2250,033,046,059,072,085
,,4.62,6.79,8.96,11.14,13.31
,304L-HDF4-1GAL,046,068,090,111,133
,,2.21,2.96,3.71,4.46,5.21
,304L-HDF8-1000,022,030,037,045,052
1/2 in.,304L-HDF8-2250,3.20,4.49,5.78,7.07,8.36
,,032,045,058,071,084
,304L-HDF8-1GAL,4.52,6.69,8.86,11.04,13.21
,,045,067,089,110,132
,316L-HDF4-150,1.12,1.45,1.79,2.13,2.46
,,011,015,018,021,025
,,1.65,2.32,2.99,3.67,4.34
,316L-HDF4-300,017,023,030,037,043
,316L-HDF4-500,2.26,3.38,4.50,5.62,6.74
,,023,034,045,056,067
,,1.12,1.45,1.79,2.13,2.46
,M-HDF4-150,011,015,018,021,025
,,1.65,2.32,2.99,3.67,4.34
,M-HDF4-300,017,023,030,037,043
,,2.26,3.38,4.50,5.62,6.74
,M-HDF4-500,023,034,045,056,067
5/16 in.,,1.09,1.43,1.77,2.12,2.46
,304L-05SF4-150,010,014,018,021,025
,,1.59,2.27,2.96,3.65,4.34
,304L-05SF4-300,016,023,030,037,043
,,2.16,3.30,4.45,5.60,6.74
,304L-05SF4-500,022,033,045,056,067
,,1.62,2.17,2.71,3.26,3.81
,316L-50DF4-150,016,022,027,033,038
,,2.74,3.84,4.93,6.03,7.12
,316L-50DF4-300,027,038,049,060,071
,316L-50DF4-500,4.39,6.21,8.04,9.86,11.68
,,044,062,080,099,117
